observed,predicted
-4.807865117851968,-3.7112149049063987
-6.238238647034705,-4.160019371222966
-2.5297469879534122,-3.595530435343485
-3.3420742756649116,-4.12071668517427
-4.456688260627873,-4.253078037538153
-3.906643194599354,-4.5550168688973915
-5.7766210010878325,-5.3833163999208695
-2.67179962100738,-4.794670855540581
-3.6710182616286136,-4.356759267145902
-3.7511405337990307,-3.9826781498659325
-4.3625192630901095,-5.518621926459945
-4.444979470485039,-4.548455991851915
-3.6901358333520853,-4.041657685949742
-5.4116583533908535,-5.216496026677322
-3.4861601455568487,-4.735519382549853
-3.69811824163444,-4.927719300018101
-3.662171957471598,-5.096749772205692
-4.654714071609094,-3.942949118396517
-4.778980410425908,-4.020805896704653
-4.0852538609053255,-4.271771290375494
-3.827913278522088,-3.25443475590323
-3.289756062573174,-4.396784260859708
-5.610043887954814,-5.061611450086881
-2.611013114612139,-4.3932017988748076
-4.5802681955482845,-4.2587630593654335
-5.288007238039135,-3.898860962242179
-5.121287653552443,-4.527634248972031
-5.033213601429415,-3.135789719301977
-3.36816323614112,-4.275743713238798
-4.002070735189907,-4.11537380490995
-5.763765618991339,-4.283716785728153
-5.034412928117692,-3.4436680542898306
-5.22249104813107,-4.274253735430724
-5.138783290955159,-4.737779078065749
-6.103306991673776,-5.4008267565274926
-4.957988911167329,-4.74847091836298
-4.255175682789702,-4.478750254085017
-6.0378503076908325,-4.0337128988551445
-3.7828000357551916,-4.404853384641868
-4.358862035655389,-4.374287388003867
-3.483439653769999,-3.8927338858243226
-2.73423360518965,-4.4247045886537695
-3.33590813897058,-3.663709097680721
-4.63823232241112,-4.262981117262418
-5.076084454271164,-4.809367774034557
-2.8777750215761575,-4.9281826965185545
-4.229203211092185,-4.371316806624948
-4.9068412057927615,-4.94848880765393
-4.391437262620786,-4.133769602827801
-3.830729864570202,-3.835360817995793
-4.430260437098046,-3.697938516584919
-5.25374354716508,-5.047712267386429
-4.222898365863596,-3.690890934367525
-4.674928772696371,-4.933557756937652
-4.1981147956588085,-3.9178161329925505
-4.338128763229378,-3.4063064203396847
-3.892235859715433,-4.4885197754893476
-4.410552872068056,-3.5919634026593132
-2.629043244008226,-3.9979291642534887
-5.955581817040935,-3.78036722087668
-3.290448698079721,-5.078314626973164
-3.856310563097237,-4.212835006087832
-5.855554000092827,-4.82105970174493
-4.519720447717591,-3.80457905150551
-4.445698387808522,-4.727825674610023
-5.095725578096244,-3.8838657970303005
-4.543424248219337,-4.55953393008676
-5.117572062109965,-4.1262933479553014
-3.174086842867056,-4.117332955861294
-3.247307628392298,-4.133078773780484
-3.4598823433670707,-3.85218943550979
-3.1211447420006686,-3.8352446004049554
-5.679386337909191,-4.028951843910557
-5.025953357855931,-4.732424059249207
-4.008827288890832,-4.419244948721982
-4.799340094617723,-3.764025411520499
-3.3985409998224867,-3.8228709714011546
-4.6206068335898,-3.998918843738635
-4.184569191776907,-4.3270662030407525
-3.315515794759587,-4.7413482690383955
-4.326581926925735,-4.180683483526753
-4.336170661479552,-4.261106857445995
-2.95798583946277,-3.9205833682532174
-5.215757858614059,-3.7980154743686345
-3.253872076133676,-4.085066816281898
-3.331829689803254,-4.014696446083259
-4.128577236808992,-4.355052616418131
-3.8380729190194733,-3.721575651331902
-4.9645929869424235,-3.785434732368774
-4.283619803376506,-4.719179223933162
-5.0595146279893966,-3.7612785263451367
-4.526563858390374,-4.251458102490661
-3.3018912296213427,-3.1339351749897304
-5.20793002488336,-4.7044131662800215
-5.689223121225755,-4.406884057570954
-4.9404576763218016,-3.2451865925700543
-3.9738239076891424,-5.33614684694448
-5.2410495832447035,-4.711617221804794
-2.7405738975037153,-3.717627163277486
-5.558351441908221,-3.3531930079290198
-2.7594150514848557,-4.540306993376673
-3.721608534835127,-3.644745835930754
-4.372929986780391,-3.6211576446464453
-5.312609086881342,-4.778209438849885
-3.9704880643090705,-3.9001311541117625
-4.011933903628883,-4.177928690254814
-3.708314373086352,-4.01806680139274
-4.27277555606087,-4.25736524761977
-3.675639357783179,-3.695814885921584
-4.293083648332349,-3.611175336946755
-4.175008469076564,-3.6501212964541025
-3.7123566251563638,-3.880466074752865
-5.661125903716463,-3.419456122657811
-4.924424068545216,-3.907125358628983
-4.168264210081082,-4.626430032876942
-4.379727431360751,-4.238057508911385
-3.9377836553348113,-5.153078620661876
-4.399376993024093,-4.48071347087359
-3.4210001216165042,-3.554748365518911
-4.262926479669675,-3.4759361489585485
-4.7449137964205015,-3.888506465917807
-4.513205704721181,-4.950408332982409
-4.581342238872781,-4.507084071726464
-3.5036243704879895,-4.147462722856229
-5.178227778952525,-3.524227275382245
-2.915876426619722,-4.362362871390536
-3.960312202510465,-4.37703571751433
-3.851185877830702,-4.205288135987513
-3.022255876858434,-4.2306784667693496
-2.6388128573494836,-4.898886934379621
-3.622860305371525,-5.405061099096641
-6.325217136559827,-5.410938349512014
-5.906049663331605,-4.389946110319844
-4.829408877596249,-4.93535039405325
-4.014353851650982,-4.34009278190103
-3.317229674444207,-3.3594645046975997
-4.9636890440560295,-3.869304138960898
-4.450298570345757,-4.403527776083979
-5.616192582671728,-5.3125248354815024
-4.515521000566266,-4.268027900754772
-5.06858311938079,-4.046096528553152
-4.812247141173692,-4.2662110598807566
-4.944931850426653,-3.2262286606639843
-4.811179909426328,-3.862481926796773
-3.241342259936601,-4.213138909473305
-4.505112116922068,-2.9261260377452665
-3.932989945862503,-4.335953821594399
-3.6579367655205504,-3.3862156944174773
-4.826132794522657,-2.965618518121614
-3.7838759729510003,-5.1013767960048835
-5.134631781983581,-4.94530279014971
-4.070532279203259,-4.23040790005701
-4.3303995922461,-4.832052260539145
-2.9289808648977917,-3.8779953983623012
-4.809292870192804,-5.186484740372794
-3.8034661394362486,-3.720179150984369
-2.685264923981937,-4.1286060534728595
-4.491606680687408,-4.411201248940582
-2.8613170178066585,-4.747918907562093
-4.297316550270597,-4.804641537802062
-5.3713638812523605,-5.2818173271560145
-4.11719416480142,-4.366984222661404
-3.9777710139824856,-5.06528442308223
-4.17933530946888,-4.995423773975592
-5.094914945703621,-4.523897141897257
-5.130224866068007,-4.200373462469637
-4.331359853348503,-3.9952314105920275
-4.565598840507942,-4.207001801528258
-3.418060724591211,-4.503902837537027
-3.626496412723228,-3.803095670021716
-5.673214083132893,-4.673220289337521
-4.246536000064276,-4.999777575806217
-4.395128114516314,-5.235469309225469
-4.18186897147146,-3.873068293802121
-3.418742462933023,-4.30575514904778
-3.8627629725446284,-4.086033422464452
-4.448757672387394,-4.551435133170201
-4.887181988616457,-4.381864012741636
-5.151145016997604,-3.7800859897010533
-4.152040294697418,-4.518508811487615
-3.8267990915814143,-4.449882219717495
-3.547298639417002,-3.7909544923026304
-5.163717208890981,-3.7592680227248856
-5.722504865129556,-5.026287078574156
-3.1608849004818107,-3.4627511134463824
-4.0953428305749675,-4.367065715287835
-4.217224049114599,-5.342756603335202
-4.018402790955552,-4.4246899556766035
-4.05933146442614,-4.044931798151855
-4.054901079371564,-6.0337350483858145
-4.620439167859068,-4.77533993254182
-3.878915288668989,-4.181513253066042
-4.3108920716065215,-3.9139749421275227
-4.839837225768852,-4.137022470029267
-4.670266470167714,-3.5252576741640085
-3.8690533736777755,-3.462893706463439
-4.271889844917538,-3.6060435969280613
-2.711510533208266,-3.472697606406917
-4.723021686022057,-4.043666293958515
-3.9945816654499575,-3.1148612074723467
-4.109250627700855,-4.2272745246550905
-3.7082507438365284,-5.639138354802961
-4.141313785172596,-3.807898775199342
-2.9929080267388355,-5.098722842454898
-5.326963603287389,-3.5014982475211363
-3.6426059419611057,-4.356522345841702
-3.452375151850428,-3.942214872991536
-4.619085478168469,-4.327317125658559
-3.4826007693299728,-4.134778389544709
-4.19030242528125,-4.070884140982622
-3.1819084815827905,-5.380828515834081
-2.5411169773651103,-3.960737721107617
-4.255120411663243,-4.4357079761910985
-5.445223672363574,-4.553038767763738
-3.370477623319757,-4.050847139758682
-3.158377746436918,-4.61136419819646
-4.6000889597326,-3.835511910001437
-5.198918746630118,-5.567980182466835
-4.245581529967931,-4.354986462380988
-4.794217467881796,-3.644517109848235
-4.7111836587818265,-4.060170977892477
-4.6150045052234185,-3.3619730200541125
-4.819476401489737,-3.5918536674523964
-5.003654050666159,-4.793948203123057
-3.5562156819340403,-3.8752468723851257
-4.553882367887798,-3.918488285288275
-3.080150629548815,-4.525868343269939
-4.8962863353430865,-4.770080899015596
-4.245203601459391,-4.889260979233627
-3.5938553934477633,-4.726392513275421
-4.625271212769925,-4.4337091363489565
-3.606486099517641,-4.399162232107798
-3.9322925037181484,-4.15106313787209
-4.2066254242764485,-4.547072194832996
-4.005586743466224,-5.003216476369984
-5.238520985507699,-4.756429951539928
-4.980416585359814,-4.638377501140337
-4.852662337329822,-4.134889537081331
-5.183079493780583,-4.24725087133307
-5.203152470951024,-4.7406392356366585
-3.4228605134276218,-3.739618266851987
-3.3669242286909684,-4.621048231342562
-4.477385232376684,-4.167433664546693
-5.419860254979506,-4.450380723692829
-3.556293455959304,-3.921851429490162
-4.477366378154493,-4.258537069860449
-3.733101229283788,-4.542194485860557
-4.512558191060454,-4.495451405805008
-5.133158239363469,-4.170509210033194
-3.0195166547875405,-4.233264436565687
-2.7267058592178226,-4.277530995432303
-4.466144072556417,-4.000812715781761
-4.581189879527351,-3.6673768728999177
-4.623443104885339,-4.981295790755052
-3.8378675476353936,-4.435181146303254
-3.9981365504771382,-4.388403405082571
-2.6208476907567033,-4.186570999497816
-3.913544218879517,-4.225690800473608
-4.838186532259607,-5.554187563003893
-4.9305913060267175,-3.215928016371141
-5.329014383049419,-3.710769792342985
-4.140926343578029,-2.8659761884223416
-4.489250761593441,-3.8676607183426426
-4.171418940438425,-4.536476816668246
-4.726652238280616,-4.532664688041841
-2.7402608111062325,-3.564620729942115
-4.636192031925288,-3.4392944424098624
-5.01189216492762,-4.145987531027567
-2.9481942257033853,-4.027546520024646
